Name,Use,Stem,Comp_00,Comp_01,Cut_OFF,N_FFT_scale,dim_F_set,dim_T_set,Date,Repo_FileName
MDX23C - 8K FFT,,BOTH,1.035,,14700,8192,4096,8,2023-09-26,MDX23C-8KFFT-InstVoc_HQ.ckpt 
Karaoke,x,Choirs,1.034,,14700,6144,2048,8,2022-07-21,UVR_MDXNET_KARA.onnx
Karaoke 2,x,Choirs,0.940,,17640,5120,2048,8,2023-03-20,UVR_MDXNET_KARA_2.onnx
Instrum HQ 1,,Instrumental,1.016,,0,6144,3072,8,2023-03-28,UVR-MDX-NET-Inst_HQ_1.onnx
Instrum HQ 2,,Instrumental,1.026,,0,6144,3072,8,2023-04-10,UVR-MDX-NET-Inst_HQ_2.onnx
Instrum HQ 3,x,Instrumental,0.989,1.007,0,6144,3072,8,2023-06-11,UVR-MDX-NET-Inst_HQ_3.onnx
Instrum Main,x,Instrumental,0.961,,17640,5120,2048,8,2022-12-19,UVR-MDX-NET-Inst_Main.onnx
Kim Instrum,x,Instrumental,0.940,,17640,7680,3072,8,2023-04-26,Kim_Inst.onnx
(de-)Reverb HQ,,OTHER,1.035,,0,6144,3072,9,2023-04-13,Reverb_HQ_By_FoxJoy.onnx
Kim Vocal 1,,Vocals,1.034,,17640,7680,3072,8,2022-12-27,Kim_Vocal_1.onnx
Kim Vocal 2,x,Vocals,0.991,0.993,17640,7680,3072,8,2023-05-19,Kim_Vocal_2.onnx
Voc FT,x,Vocals,1.015,1.021,17640,7680,3072,8,2023-06-22,UVR-MDX-NET-Voc_FT.onnx
Vocal Main,x,Vocals,0.999,,17640,7680,3072,8,2022-07-21,UVR_MDXNET_Main.onnx
Instrum 3,x,Instrumental,1.028,,17640,7680,3072,8,2022-10-31,UVR-MDX-NET-Inst_3.onnx
